model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
qwen3-next:80b-cloud,c0a6a91e55ab_20260131062002,3,461.05838561058044,1598,6337,2,5.0,0.7142857142857143,2,False
qwen3-next:80b-cloud,c0a6a91e55ab_20260131062002,4,418.14260745048523,1635,3641,2,2.75,0.7142857142857143,2,False
qwen3-next:80b-cloud,c0a6a91e55ab_20260131062002,5,142.05375289916992,1289,5440,0,5.0,0.7142857142857143,2,False
qwen3-next:80b-cloud,c0a6a91e55ab_20260131062002,6,160.941504240036,1293,1358,0,5.0,0.7142857142857143,2,False
qwen3-next:80b-cloud,68db8c68e50c_20260131062747,1,351.69963669776917,1398,3074,2,3.3333333333333335,0.5714285714285714,2,False
qwen3-next:80b-cloud,68db8c68e50c_20260131062747,2,390.200829744339,1402,4600,1,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,68db8c68e50c_20260131062747,3,167.24544191360474,1315,3641,0,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,68db8c68e50c_20260131062747,4,441.859126329422,1584,5072,2,2.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,68db8c68e50c_20260131062747,5,122.65908432006836,1289,4376,0,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,68db8c68e50c_20260131062747,6,90.35438084602356,1293,1010,0,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,97a9b11971ae_20260131063209,1,377.48195934295654,1407,3862,2,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,97a9b11971ae_20260131063209,2,293.11929154396057,1575,5118,1,4.75,0.7619047619047619,2,False
qwen3-next:80b-cloud,97a9b11971ae_20260131063209,3,142.20887994766235,1315,2601,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,97a9b11971ae_20260131063209,4,309.73812317848206,1617,4480,1,4.25,0.7619047619047619,2,False
qwen3-next:80b-cloud,97a9b11971ae_20260131063209,5,127.67068290710449,1289,3238,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,97a9b11971ae_20260131063209,6,138.12882614135742,1293,991,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,811a519ca23b_20260131063214,1,471.9950270652771,1389,4891,2,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,811a519ca23b_20260131063214,2,77.67287254333496,1242,4482,0,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,811a519ca23b_20260131063214,3,334.9524998664856,1778,5227,1,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,811a519ca23b_20260131063214,4,476.3215169906616,1640,2564,2,2.75,0.5714285714285714,2,False
qwen3-next:80b-cloud,811a519ca23b_20260131063214,5,104.20219326019287,1289,4737,0,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,811a519ca23b_20260131063214,6,128.1190161705017,1293,1909,0,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,77ada7fe9674_20260131065106,1,382.34417629241943,1267,3447,2,3.6666666666666665,0.5714285714285714,2,False
qwen3-next:80b-cloud,77ada7fe9674_20260131065106,2,300.3908038139343,1402,5296,1,4.75,0.5714285714285714,2,False
qwen3-next:80b-cloud,77ada7fe9674_20260131065106,3,188.2917788028717,1684,1770,1,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,77ada7fe9674_20260131065106,4,440.27248907089233,1642,5497,2,4.5,0.5714285714285714,2,False
qwen3-next:80b-cloud,77ada7fe9674_20260131065106,5,128.94549036026,1289,3621,0,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,77ada7fe9674_20260131065106,6,125.12190628051758,1293,1314,0,5.0,0.5714285714285714,2,False
qwen3-next:80b-cloud,97e7c9bd59f9_20260131065659,1,384.8563120365143,1364,3231,2,3.6666666666666665,0.8571428571428571,2,False
qwen3-next:80b-cloud,97e7c9bd59f9_20260131065659,2,156.8200798034668,1242,3193,0,4.25,0.8571428571428571,2,False
qwen3-next:80b-cloud,97e7c9bd59f9_20260131065659,3,239.0844805240631,1787,4262,1,4.5,0.8571428571428571,2,False
qwen3-next:80b-cloud,97e7c9bd59f9_20260131065659,4,216.19221305847168,1585,7451,1,4.5,0.8571428571428571,2,False
qwen3-next:80b-cloud,97e7c9bd59f9_20260131065659,5,162.90397906303406,1289,5894,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,97e7c9bd59f9_20260131065659,6,149.0165855884552,1293,1119,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,34b3c98bc5a4_20260131065629,1,366.3196659088135,1363,4953,1,4.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,34b3c98bc5a4_20260131065629,2,102.25470232963562,1109,1227,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,34b3c98bc5a4_20260131065629,3,312.37001633644104,1745,2853,1,4.5,0.8571428571428571,2,False
qwen3-next:80b-cloud,34b3c98bc5a4_20260131065629,4,527.0093064308167,1581,4536,2,4.25,0.8571428571428571,2,False
qwen3-next:80b-cloud,34b3c98bc5a4_20260131065629,5,342.2786765098572,1874,5424,1,5.0,0.8571428571428571,2,False
