model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,extraction_rate,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:120b-cloud,c5acb8390ff4_20260202012235,1,23.48754620552063,5051,1328,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,c5acb8390ff4_20260202012235,2,21.162056922912598,5182,1776,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,c5acb8390ff4_20260202012235,3,35.963027238845825,4775,2146,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,c5acb8390ff4_20260202012235,4,24.56596326828003,5310,2012,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,c5acb8390ff4_20260202012235,5,14.533586740493774,4514,1027,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,c5acb8390ff4_20260202012235,6,17.12924551963806,4310,850,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,d61cf4154d64_20260202012512,1,23.055346965789795,2849,1397,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,d61cf4154d64_20260202012512,2,25.601264715194702,3371,1695,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,d61cf4154d64_20260202012512,3,15.540136098861694,2376,1623,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,d61cf4154d64_20260202012512,4,29.996614933013916,3686,2250,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,d61cf4154d64_20260202012512,5,28.96760392189026,2365,1131,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,d61cf4154d64_20260202012512,6,15.925722360610962,2656,536,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,24265e0f9551_20260202012518,1,23.26605796813965,2849,1038,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,24265e0f9551_20260202012518,2,23.054367780685425,3371,1660,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,24265e0f9551_20260202012518,3,25.77793574333191,2376,1636,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,24265e0f9551_20260202012518,4,20.223047733306885,3686,1581,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,24265e0f9551_20260202012518,5,28.820631742477417,2365,1268,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,24265e0f9551_20260202012518,6,18.766252040863037,2656,898,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,a2d20b05b599_20260202012526,1,33.59890556335449,2849,1408,0,,,66.66666666666666,0.6666666666666666,0,False
gpt-oss:120b-cloud,a2d20b05b599_20260202012526,2,12.495326280593872,3371,1341,0,,,66.66666666666666,0.6666666666666666,0,False
gpt-oss:120b-cloud,a2d20b05b599_20260202012526,3,27.106050729751587,2376,1385,0,,,66.66666666666666,0.6666666666666666,0,False
gpt-oss:120b-cloud,a2d20b05b599_20260202012526,4,27.031817197799683,3686,1939,0,,,66.66666666666666,0.6666666666666666,0,False
