experiment_id,timestamp,input_path,model_name,embedding_model,judge_model_name,chunk_size,chunk_overlap,temperature,extraction_rate,extracted_count,total_characteristics,average_description_length,processing_time_seconds,total_input_tokens,total_output_tokens,error_count,warning_count
5142d6a12b82_20251203214304,2025-12-03T17:13:40.254639,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,9.523809523809524,2,21,2031.5,1835.5298991203308,0,0,0,0
5142d6a12b82_20251203214856,2025-12-03T17:14:40.006506,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1543.5668303966522,0,0,0,0
c626225bcb73_20251203220357,2025-12-03T17:27:01.277714,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1383.4551455974579,0,0,0,0
c626225bcb73_20251203220803,2025-12-03T17:39:57.189898,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,14.285714285714285,3,21,2253.3333333333335,1913.9987058639526,4933,2069,0,0
c626225bcb73_20251203221410,2025-12-03T17:42:40.680878,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1709.8580701351166,0,0,0,0
c626225bcb73_20251203221524,2025-12-03T17:42:53.633407,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1648.8230392932892,0,0,0,0
6ec21a939e76_20251203222753,2025-12-03T17:58:41.561334,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,4.761904761904762,1,21,2643.0,1848.2891612052917,3840,637,0,0
6ec21a939e76_20251203224200,2025-12-03T18:06:24.453176,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1464.2455279827118,0,0,0,0
6ec21a939e76_20251203224324,2025-12-03T18:12:05.587291,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1720.7484683990479,0,0,0,0
6ec21a939e76_20251203224310,2025-12-03T18:13:51.877578,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,9.523809523809524,2,21,1950.5,1841.2631888389587,0,0,0,0
