model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:120b-cloud,fc2a537fd4d7_20260129195242,6,3.9226534366607666,1720,382,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,f527673d4798_20260129195402,1,9.756044387817383,1436,797,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,f527673d4798_20260129195402,2,3.203453779220581,1476,369,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,f527673d4798_20260129195402,3,9.131690263748169,1516,827,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,f527673d4798_20260129195402,4,3.49637508392334,1507,260,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,f527673d4798_20260129195402,5,11.851441621780396,1487,1320,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,f527673d4798_20260129195402,6,3.295116901397705,1720,411,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,7d34367022ba_20260129195520,1,3.687910795211792,1436,311,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,7d34367022ba_20260129195520,2,3.0699939727783203,1476,348,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,7d34367022ba_20260129195520,3,6.659202814102173,1516,1037,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,7d34367022ba_20260129195520,4,6.482597351074219,1507,867,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,7d34367022ba_20260129195520,5,10.296481132507324,1487,954,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,7d34367022ba_20260129195520,6,2.8212859630584717,1720,351,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,502acd659e4c_20260129195625,1,3.2718863487243652,1436,332,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,502acd659e4c_20260129195625,2,7.907830476760864,1476,879,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,502acd659e4c_20260129195625,3,5.403874397277832,1516,655,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,502acd659e4c_20260129195625,4,4.594269275665283,1507,442,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,502acd659e4c_20260129195625,5,7.63845682144165,1487,1113,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,502acd659e4c_20260129195625,6,4.87488055229187,1720,556,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,1,5.780529260635376,1436,703,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,2,2.448413848876953,1476,207,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,3,5.762318849563599,1516,673,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,4,2.2580339908599854,1507,242,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,5,9.446669578552246,1487,1416,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,6,4.576794862747192,1720,591,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,1,5.076271057128906,1436,515,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,2,1.766361951828003,1476,210,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,3,7.095242500305176,1516,762,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,4,2.334752321243286,1507,268,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,5,8.969637393951416,1487,1554,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,6,3.413144588470459,1720,449,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,1,3.083577871322632,1436,187,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,2,3.498307704925537,1476,458,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,3,4.981810808181763,1516,815,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,4,4.103719711303711,1507,714,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,5,8.82538628578186,1487,1078,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,6,4.141779184341431,1720,621,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,d451fd067146_20260129200034,1,4.660288333892822,1436,656,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,d451fd067146_20260129200034,2,2.0225441455841064,1476,225,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,d451fd067146_20260129200034,3,7.757607460021973,1516,791,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,d451fd067146_20260129200034,4,5.7559192180633545,1507,892,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,d451fd067146_20260129200034,5,6.7248029708862305,1487,1182,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,d451fd067146_20260129200034,6,3.6483142375946045,1720,406,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,1,4.330981492996216,1436,211,0,,0.38095238095238093,0,False
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,2,2.6303062438964844,1476,291,0,,0.38095238095238093,0,False
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,3,2.4896888732910156,1516,245,0,,0.38095238095238093,0,False
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,4,2.730882406234741,1507,229,0,,0.38095238095238093,0,False
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,5,8.86108112335205,1487,1231,0,,0.38095238095238093,0,False
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,6,3.931051015853882,1720,575,0,,0.38095238095238093,0,False
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,1,1.6856153011322021,1436,199,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,2,2.27451229095459,1476,255,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,3,7.662568807601929,1516,961,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,4,7.126238107681274,1507,942,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,5,10.569050550460815,1487,1401,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,6,3.096595525741577,1720,314,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,5cacf933500a_20260129200404,1,4.619812726974487,1436,569,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,5cacf933500a_20260129200404,2,2.351569175720215,1476,225,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,5cacf933500a_20260129200404,3,5.564611911773682,1516,700,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,5cacf933500a_20260129200404,4,5.809848308563232,1507,362,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,5cacf933500a_20260129200404,5,6.321605920791626,1487,1049,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,5cacf933500a_20260129200404,6,4.075150966644287,1720,485,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,1,4.492985486984253,1436,677,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,2,2.7347192764282227,1476,247,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,3,5.257136583328247,1516,665,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,4,2.269294500350952,1507,313,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,5,10.230469226837158,1487,1204,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,6,3.7422821521759033,1720,577,0,,0.42857142857142855,0,False
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,1,5.988135576248169,1436,717,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,2,3.4463324546813965,1476,375,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,3,4.7623255252838135,1516,808,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,4,2.3453316688537598,1507,375,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,5,9.22013783454895,1487,1440,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,6,2.9917118549346924,1720,364,0,,0.47619047619047616,0,False
gpt-oss:120b-cloud,9925265f0d92_20260129200757,1,5.065967798233032,1436,616,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,9925265f0d92_20260129200757,2,2.166482448577881,1476,227,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,9925265f0d92_20260129200757,3,6.824502229690552,1516,536,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,9925265f0d92_20260129200757,4,1.575648546218872,1507,162,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,9925265f0d92_20260129200757,5,8.24431562423706,1487,1268,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,9925265f0d92_20260129200757,6,5.213269472122192,1720,587,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,1,5.555624008178711,1436,607,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,2,6.219705820083618,1476,927,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,3,6.670483827590942,1516,767,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,4,2.8157923221588135,1507,328,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,5,11.433037996292114,1487,1555,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,6,3.3981218338012695,1720,413,0,,0.5238095238095238,0,False
gpt-oss:120b-cloud,28c70b77fb9c_20260129201036,1,20.60268235206604,7413,1744,0,,0.8095238095238095,0,True
gpt-oss:120b-cloud,60ffc0671891_20260129201150,1,16.60807180404663,7413,2545,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,3fcb1224c475_20260129201304,1,12.42543077468872,7413,1744,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,dde3b7a3c57c_20260129201354,1,17.02880859375,7413,2189,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,10dec89cfbe1_20260129201503,1,15.25367546081543,7413,2236,0,,0.8571428571428571,0,True
gpt-oss:120b-cloud,fae40fe052b7_20260129201549,1,26.280706644058228,7413,2972,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,4f6f0ae3bab2_20260129201659,1,16.380742073059082,7413,1934,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,6dc4d9360a50_20260129201817,1,14.661786556243896,7413,1697,0,,1.0,0,True
gpt-oss:120b-cloud,1e682d6d216d_20260129201906,1,20.452914714813232,7413,2154,0,,0.8571428571428571,0,True
gpt-oss:120b-cloud,cc96fb0b54d8_20260129202012,1,12.404447317123413,7413,1672,0,,0.8095238095238095,0,True
gpt-oss:120b-cloud,5e8ec82530d9_20260129202054,1,14.688448905944824,7413,1773,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,616e57c148fe_20260129202137,1,19.237085103988647,7413,2378,0,,0.8095238095238095,0,True
gpt-oss:120b-cloud,652ca238bb64_20260129202301,1,26.3537437915802,7413,2880,0,,0.8571428571428571,0,True
gpt-oss:120b-cloud,ce2092ac6140_20260129202409,1,22.151479721069336,7413,3156,0,,0.7619047619047619,0,True
gpt-oss:120b-cloud,dfe55a49fce4_20260129202538,1,16.25690722465515,7413,1621,0,,0.9523809523809523,0,True
gpt-oss:120b-cloud,319d5f82d78f_20260129202642,1,22.887946128845215,7413,2709,0,,0.9523809523809523,0,True
gpt-oss:120b-cloud,5b0e385cefde_20260129202753,1,11.73913049697876,7413,1706,0,,0.9523809523809523,0,True
gpt-oss:120b-cloud,075b54b2bd6e_20260129203105,1,15.47874641418457,7413,1871,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,0130daee856e_20260129203225,1,15.91743516921997,7413,2413,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,9fd510e0a36d_20260129203322,1,23.156972885131836,7413,2121,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,260355b9aaf7_20260129203427,1,12.587944984436035,7413,1652,0,,0.8571428571428571,0,True
gpt-oss:120b-cloud,fc07639acbc4_20260129203531,1,15.705801010131836,7413,1799,0,,0.9047619047619048,0,True
gpt-oss:120b-cloud,cdebffd5f849_20260129203645,1,14.88320279121399,7413,1769,0,,0.8571428571428571,0,True
gpt-oss:120b-cloud,4ea03a236347_20260129203736,1,21.82784914970398,7413,2590,0,,0.9523809523809523,0,True
gpt-oss:120b-cloud,97fa506bdded_20260129203833,1,12.015539169311523,7413,1808,0,,1.0,0,True
gpt-oss:120b-cloud,b62c35f71a4d_20260130192203,1,266.5831322669983,5301,1921,2,2.0,0.8095238095238095,2,False
gpt-oss:120b-cloud,b62c35f71a4d_20260130192203,2,444.36681866645813,5878,1377,2,3.25,0.8095238095238095,2,False
gpt-oss:120b-cloud,b62c35f71a4d_20260130192203,3,241.64295268058777,4841,1741,2,2.75,0.8095238095238095,2,False
gpt-oss:120b-cloud,b62c35f71a4d_20260130192203,4,264.3609125614166,6117,1621,2,3.5,0.8095238095238095,2,False
gpt-oss:120b-cloud,b62c35f71a4d_20260130192203,5,47.53209185600281,5566,1383,0,5.0,0.8095238095238095,2,False
gpt-oss:120b-cloud,b62c35f71a4d_20260130192203,6,64.44481587409973,4353,404,0,5.0,0.8095238095238095,2,False
gpt-oss:120b-cloud,b2e851fe705b_20260130192206,1,209.34621119499207,5386,1603,2,3.3333333333333335,0.8571428571428571,2,False
gpt-oss:120b-cloud,b2e851fe705b_20260130192206,2,271.79444885253906,6027,1768,2,3.25,0.8571428571428571,2,False
gpt-oss:120b-cloud,b2e851fe705b_20260130192206,3,371.56912660598755,4891,1182,2,2.75,0.8571428571428571,2,False
gpt-oss:120b-cloud,b2e851fe705b_20260130192206,4,384.3452718257904,6261,1053,2,3.0,0.8571428571428571,2,False
gpt-oss:120b-cloud,b2e851fe705b_20260130192206,5,338.1448721885681,6327,1519,2,3.25,0.8571428571428571,2,False
gpt-oss:120b-cloud,b2e851fe705b_20260130192206,6,75.67844891548157,4353,279,0,5.0,0.8571428571428571,2,False
gpt-oss:120b-cloud,9dba2d9e1029_20260130192159,1,286.4877414703369,5453,939,2,2.6666666666666665,0.8571428571428571,2,False
gpt-oss:120b-cloud,9dba2d9e1029_20260130192159,2,326.98005986213684,5952,1253,2,2.25,0.8571428571428571,2,False
gpt-oss:120b-cloud,9dba2d9e1029_20260130192159,3,325.0355861186981,4907,1983,2,2.25,0.8571428571428571,2,False
gpt-oss:120b-cloud,9dba2d9e1029_20260130192159,4,379.9080891609192,6154,1945,2,3.0,0.8571428571428571,2,False
gpt-oss:120b-cloud,9dba2d9e1029_20260130192159,5,398.6820695400238,6202,2256,2,2.75,0.8571428571428571,2,False
gpt-oss:120b-cloud,9dba2d9e1029_20260130192159,6,31.817746877670288,4353,267,0,5.0,0.8571428571428571,2,False
gpt-oss:120b-cloud,44497b8ccfbf_20260130192155,1,353.9894096851349,5368,1765,2,2.0,0.8095238095238095,2,False
gpt-oss:120b-cloud,44497b8ccfbf_20260130192155,2,287.3249840736389,5933,1821,2,3.0,0.8095238095238095,2,False
gpt-oss:120b-cloud,44497b8ccfbf_20260130192155,3,323.9372100830078,4770,1558,2,2.5,0.8095238095238095,2,False
gpt-oss:120b-cloud,44497b8ccfbf_20260130192155,4,519.0228536128998,6151,1691,2,2.0,0.8095238095238095,2,False
gpt-oss:120b-cloud,44497b8ccfbf_20260130192155,5,422.3566677570343,6161,1931,2,2.75,0.8095238095238095,2,False
gpt-oss:120b-cloud,44497b8ccfbf_20260130192155,6,59.59624743461609,4353,333,0,5.0,0.8095238095238095,2,False
gpt-oss:120b-cloud,908a95b6327d_20260130192210,1,409.9218361377716,5370,1758,2,3.0,0.8571428571428571,2,False
gpt-oss:120b-cloud,908a95b6327d_20260130192210,2,383.2805016040802,5976,1295,2,2.75,0.8571428571428571,2,False
gpt-oss:120b-cloud,908a95b6327d_20260130192210,3,271.2344527244568,4843,1959,2,2.75,0.8571428571428571,2,False
gpt-oss:120b-cloud,908a95b6327d_20260130192210,4,409.8340322971344,6165,1782,2,3.5,0.8571428571428571,2,False
gpt-oss:120b-cloud,908a95b6327d_20260130192210,5,485.9761075973511,5862,2811,2,3.25,0.8571428571428571,2,False
gpt-oss:120b-cloud,908a95b6327d_20260130192210,6,96.76608920097351,4353,369,0,5.0,0.8571428571428571,2,False
gpt-oss:120b-cloud,414cc2557ee4_20260130194514,1,123.90679430961609,2970,1261,1,4.666666666666667,0.7619047619047619,2,False
gpt-oss:120b-cloud,414cc2557ee4_20260130194514,2,458.2942810058594,4090,1334,1,4.75,0.7619047619047619,2,False
gpt-oss:120b-cloud,414cc2557ee4_20260130194514,3,148.74265241622925,2861,1096,2,3.0,0.7619047619047619,2,False
gpt-oss:120b-cloud,414cc2557ee4_20260130194514,4,308.9853038787842,4050,692,2,3.75,0.7619047619047619,2,False
gpt-oss:120b-cloud,414cc2557ee4_20260130194514,5,94.6238420009613,2601,1762,0,5.0,0.7619047619047619,2,False
gpt-oss:120b-cloud,414cc2557ee4_20260130194514,6,73.63312005996704,3298,235,0,5.0,0.7619047619047619,2,False
